AT90CAN128	c128	1e9781
AT90CAN32	c32	1e9581
AT90CAN64	c64	1e9681
AT90PWM2	pwm2	1e9381
AT90PWM2B	pwm2b	1e9383
AT90PWM3	pwm3	1e9381
AT90PWM3B	pwm3b	1e9383
AT90USB1286	usb1286	1e9782
AT90USB1287	usb1287	1e9782
AT90USB162	usb162	1e9482
AT90USB646	usb646	1e9682
AT90USB647	usb647	1e9682
AT90USB82	usb82	1e9382
AT90s1200	1200	1e9001
AT90s2313	2313	1e9101
AT90s2323	2343	1e9103
AT90s2333	2333	1e9105
AT90s2343	2343 	1e9103
AT90s4414	4414	1e9201
AT90s4433	4433	1e9203
AT90s4434	4434	1e9202
AT90s8515	8515	1e9301
AT90s8535	8535	1e9303
ATmega103	m103	1e9701
ATmega128	m128	1e9702
ATmega1280	m1280	1e9703
ATmega1281	m1281	1e9704
ATmega1284P	m1284p	1e9705
ATmega128RFA1	m128rfa1	1ea701
ATmega16	m16	1e9403
ATmega161	m161	1e9401
ATmega162	m162	1e9404
ATmega163	m163	1e9402
ATmega164P	m164p	1e940a
ATmega168	m168	1e9406
ATmega169	m169	1e9405
ATmega2560	m2560	1e9801
ATmega2561	m2561	1e9802
ATmega32	m32	1e9502
ATmega324P	m324p	1e9508
ATmega325	m325	1e9505
ATmega3250	m3250	1e9506
ATmega328P	m328p	1e950F
ATmega329	m329	1e9503
ATmega3290	m3290	1e9504
ATmega3290P	m3290p	1e950c
ATmega329P	m329p	1e950b
ATmega48	m48	1e9205
ATmega64	m64	1e9602
ATmega640	m640	1e9608
ATmega644	m644	1e9609
ATmega644P	m644p	1e960a
ATmega645	m645	1e9605
ATmega6450	m6450	1e9606
ATmega649	m649	1e9603
ATmega6490	m6490	1e9604
ATmega8	m8	1e9307
ATmega8515	m8515	1e9306
ATmega8535	m8535	1e9308
ATmega88	m88	1e930a
ATtiny11	t11	1e9004
ATtiny12	t12	1e9005
ATtiny13	t13	1e9007
ATtiny15	t15	1e9006
ATtiny22	2343  	1e9103
ATtiny2313	t2313	1e910a
ATtiny24	t24	1e910b
ATtiny25	t25	1e9108
ATtiny26	t26	1e9109
ATtiny261	t261	1e910c
ATtiny44	t44	1e9207
ATtiny45	t45	1e9206
ATtiny461	t461	1e9208
ATtiny84	t84	1e930c
ATtiny85	t85	1e930b
ATtiny861	t861	1e930d
ATtiny88	t88	1e9311
ATxmega64A1	x64a1	1e964e
ATxmega128A1	x128a1	1e974c
ATxmega128A1D	x128a1d	1e9741
ATxmega192A1	x192a1	1e974e
ATxmega256A1	x256a1	1e9846
ATxmega64A3	x64a3	1e9642
ATxmega128A3	x128a3	1e9742
ATxmega192A3	x192a3	1e9744
ATxmega256A3	x256a3	1e9842
ATxmega256A3B	x256a3b	1e9843
ATxmega16A4	x16a4	1e9441
ATxmega32A4	x32a4	1e9541
ATxmega64A4	x64a4	1e9646
ATxmega128A4	x128a4	1e9746
